"NBHD_ID","NBHD_NAME","POPULATION_2010","AGE_LESS_18","AGE_18_TO_34","AGE_35_TO_65","AGE_65_PLUS","NUM_HOUSEHOLDS","FAMILIES","NUM_HHLD_100K+"
1,"Athmar Park",8898,2649,2406,3112,731,2781,1964,425
2,"Auraria",705,7,635,57,6,60,15,null
3,"Baker",4879,745,1762,2037,335,2447,833,null
4,"Barnum",6111,2015,1647,2089,360,1782,1289,120
5,"Barnum West",5376,1579,1380,1824,593,1704,1207,null
6,"Bear Valley",8889,2036,2375,3190,1288,3652,2285,862
7,"Belcaro",4172,646,621,1913,992,2126,1162,null
8,"Berkeley",8112,1305,2270,3513,1024,4049,1843,1510
9,"Capitol Hill",14708,408,8274,5155,871,10856,1201,1223
10,"CBD",3648,84,2288,1058,218,2363,303,null
11,"Chaffee Park",3874,890,1011,1480,493,1416,858,null
12,"Cheesman Park",7971,510,3268,3241,952,5343,1000,1055
13,"Cherry Creek",5589,413,1314,2523,1339,3542,1194,1818
14,"City Park",2907,316,1207,1067,317,1645,462,null
15,"City Park West",4844,453,1889,2000,502,2574,588,null
16,"Civic Center",1577,44,717,709,107,1140,222,null
17,"Clayton",4336,1325,1248,1370,393,1456,914,null
18,"Cole",4651,1396,1390,1514,351,1595,938,null
19,"College View - South Platte",6498,2037,1710,2336,415,2038,1395,129
20,"Congress Park",10235,1427,3614,4450,744,5724,1940,1680
21,"Cory - Merrill",3892,763,906,1742,481,1771,959,null
22,"Country Club",3001,672,414,1514,401,1289,822,null
23,"DIA",1165,310,462,366,27,509,296,null
24,"East Colfax",10191,2595,3397,3640,559,4273,2106,442
25,"Elyria Swansea",6401,2322,1676,1960,443,1695,1305,191
26,"Five Points",12712,1446,5961,4660,645,6406,1711,1680
27,"Fort Logan",8532,1796,1742,3466,1528,3314,2238,1040
28,"Gateway - Green Valley Ranch",29201,10074,7778,10405,944,9427,7056,2192
29,"Globeville",3687,991,1282,1184,230,1040,670,null
30,"Goldsmith",5808,1060,1736,2040,972,2762,1176,280
31,"Hale",6936,987,2059,3263,627,3884,1395,1038
32,"Hampden",17547,2754,4655,6957,3181,9320,4105,2160
33,"Hampden South",14370,2639,3729,5650,2352,7243,3481,2158
34,"Harvey Park",11525,3162,3005,4107,1251,3990,2772,476
35,"Harvey Park South",8393,2065,2098,3025,1205,3102,2062,640
36,"Highland",8429,1296,3269,3070,794,4131,1495,1704
37,"Hilltop",8190,2016,994,3676,1504,3383,2218,2110
38,"Indian Creek",3096,407,790,1486,413,1785,684,null
39,"Jefferson Park",2552,505,1123,829,95,1182,476,null
40,"Kennedy",4464,822,2273,1296,73,2261,871,null
41,"Lincoln Park",6119,1365,2457,1867,430,2741,1044,364
42,"Lowry Field",8067,2000,2190,3163,714,3829,1844,1459
43,"Mar Lee",12452,3685,3256,4289,1222,3973,2771,413
44,"Marston",11132,2266,3119,4553,1194,5206,2821,1164
45,"Montbello",30348,11137,7742,9561,1908,7942,6399,939
46,"Montclair",5456,983,1305,2629,539,2706,1282,null
47,"North Capitol Hill",5823,194,3238,1968,423,3851,461,1010
48,"North Park Hill",9382,2179,2012,3887,1304,3859,2398,1519
49,"Northeast Park Hill",7822,2198,1995,2734,895,2723,1692,385
50,"Overland",2218,351,874,826,167,1044,409,null
51,"Platt Park",5393,850,1710,2493,340,2677,1234,null
52,"Regis",3934,556,1446,1485,447,1586,788,null
53,"Rosedale",2553,389,830,987,347,1293,556,null
54,"Ruby Hill",9820,2865,2397,3440,1118,3324,2146,364
55,"Skyland",3106,602,806,1200,498,1381,688,null
56,"Sloan Lake",7238,1324,1973,2924,1017,3499,1644,1177
57,"South Park Hill",8590,1851,1843,4009,887,3449,2169,1733
58,"Southmoor Park",3826,499,1452,1312,563,2135,796,null
59,"Speer",10954,707,5361,3970,916,7304,1400,1682
60,"Central Park",13948,3516,4008,6045,379,4092,2759,2748
61,"Sun Valley",1448,782,360,255,51,451,381,null
62,"Sunnyside",9726,2363,2829,3593,941,3781,2222,851
63,"Union Station",4348,115,1687,1803,743,3070,751,null
64,"University",9375,826,5784,2246,519,3759,1218,991
65,"University Hills",5327,925,1339,2252,811,2509,1251,890
66,"University Park",7491,1135,2936,2559,861,3663,1408,1080
67,"Valverde",3941,1330,1055,1268,288,1180,854,null
68,"Villa Park",8758,2741,2422,2912,683,2819,1834,291
69,"Virginia Village",12844,2421,3754,5058,1611,6056,2860,1129
70,"Washington Park",6905,1199,1589,3276,841,3307,1695,1739
71,"Washington Park West",6393,807,2365,2789,432,3365,1291,1457
72,"Washington Virginia Vale",13030,2252,3984,4798,1996,6646,2808,1047
73,"Wellshire",3133,710,370,1405,648,1331,891,null
74,"West Colfax",9740,2756,2935,3111,938,3703,1971,431
75,"West Highland",8540,1304,2555,3756,925,4256,1853,1725
76,"Westwood",15486,5678,4037,4712,1059,4340,3306,326
77,"Whittier",4831,1119,1586,1788,338,1993,1008,null
78,"Windsor",12589,1819,3302,4085,3383,7204,2590,723
