Code,Country,Income group,Number of Records,Year,Population,Region
,Abkhazia,,1,1800,,Unknown
AFG,Afghanistan,Low income,1,1800,3280000,South Asia
,Akrotiri and Dhekelia,,1,1800,,Unknown
ALB,Albania,Upper middle income,1,1800,410445,Europe & Central Asia
DZA,Algeria,Upper middle income,1,1800,2503218,Middle East & North Africa
ASM,American Samoa,Upper middle income,1,1800,8170,East Asia & Pacific
ADO,Andorra,High income: nonOECD,1,1800,2654,Europe & Central Asia
AGO,Angola,Upper middle income,1,1800,1567028,Sub-Saharan Africa
,Anguilla,,1,1800,2025,Unknown
ATG,Antigua and Barbuda,High income: nonOECD,1,1800,37000,Latin America & Caribbean
ARG,Argentina,High income: nonOECD,1,1800,534000,Latin America & Caribbean
ARM,Armenia,Lower middle income,1,1800,413326,Europe & Central Asia
ABW,Aruba,High income: nonOECD,1,1800,19286,Latin America & Caribbean
AUS,Australia,High income: OECD,1,1800,351014,East Asia & Pacific
AUT,Austria,High income: OECD,1,1800,3205587,Europe & Central Asia
AZE,Azerbaijan,Upper middle income,1,1800,879960,Europe & Central Asia
BHS,Bahamas,High income: nonOECD,1,1800,27350,Latin America & Caribbean
BHR,Bahrain,High income: nonOECD,1,1800,64474,Middle East & North Africa
BGD,Bangladesh,Lower middle income,1,1800,19227358,South Asia
BRB,Barbados,High income: nonOECD,1,1800,81729,Latin America & Caribbean
BLR,Belarus,Upper middle income,1,1800,2355081,Europe & Central Asia
BEL,Belgium,High income: OECD,1,1800,3138137,Europe & Central Asia
BLZ,Belize,Upper middle income,1,1800,25526,Latin America & Caribbean
BEN,Benin,Low income,1,1800,636559,Sub-Saharan Africa
BMU,Bermuda,High income: nonOECD,1,1800,9692,North America
BTN,Bhutan,Lower middle income,1,1800,89989,South Asia
BOL,Bolivia,Lower middle income,1,1800,1100000,Latin America & Caribbean
BIH,Bosnia and Herzegovina,Upper middle income,1,1800,851806,Europe & Central Asia
BWA,Botswana,Upper middle income,1,1800,121000,Sub-Saharan Africa
BRA,Brazil,Upper middle income,1,1800,3639636,Latin America & Caribbean
,British Virgin Islands,,1,1800,6700,Unknown
BRN,Brunei,High income: nonOECD,1,1800,2128,East Asia & Pacific
BGR,Bulgaria,Upper middle income,1,1800,1992320,Europe & Central Asia
BFA,Burkina Faso,Low income,1,1800,1665421,Sub-Saharan Africa
BDI,Burundi,Low income,1,1800,899097,Sub-Saharan Africa
KHM,Cambodia,Low income,1,1800,2090000,East Asia & Pacific
CMR,Cameroon,Lower middle income,1,1800,1860054,Sub-Saharan Africa
CAN,Canada,High income: OECD,1,1800,645526,North America
CPV,Cape Verde,Lower middle income,1,1800,55716,Sub-Saharan Africa
CYM,Cayman Islands,High income: nonOECD,1,1800,2439,Latin America & Caribbean
CAF,Central African Republic,Low income,1,1800,479444,Sub-Saharan Africa
TCD,Chad,Low income,1,1800,1432000,Sub-Saharan Africa
CHI,Channel Islands,High income: nonOECD,1,1800,43908,Europe & Central Asia
CHL,Chile,High income: OECD,1,1800,771447,Latin America & Caribbean
CHN,China,Upper middle income,1,1800,321675013,East Asia & Pacific
,Christmas Island,,1,1800,,Unknown
,Cocos Island,,1,1800,,Unknown
COL,Colombia,Upper middle income,1,1800,1206000,Latin America & Caribbean
COM,Comoros,Low income,1,1800,56346,Sub-Saharan Africa
