Audience  score %,Worldwide Gross Amount,Film,Genre,Lead Studio,Number of Records,Profitability,Rotten Tomatoes %,Worldwide Gross,Year
71%,$0.2B,27 Dresses,Comedy,Fox,1,5.3436218,40%,160.308654,2008
81%,$0.1B,(500) Days of Summer,Comedy,Fox,1,8.096,87%,60.72,2009
89%,$0.0B,A Dangerous Method,Drama,Independent,1,0.44864475,79%,8.972895,2011
64%,$0.0B,A Serious Man,Drama,Universal,1,4.382857143,89%,30.68,2009
84%,$0.0B,Across the Universe,Romance,Independent,1,0.652603178,54%,29.367143,2007
80%,$0.0B,Beginners,Comedy,Independent,1,4.471875,84%,14.31,2011
66%,$0.1B,Dear John,Drama,Sony,1,4.5988,29%,114.97,2010
80%,$0.3B,Enchanted,Comedy,Disney,1,4.005737082,93%,340.487652,2007
51%,$0.0B,Fireproof,Drama,Independent,1,66.934,40%,33.467,2008
52%,$0.2B,Four Christmases,Comedy,Warner Bros.,1,2.022925,26%,161.834,2008
47%,$0.1B,Ghosts of Girlfriends Past,Comedy,Warner Bros.,1,2.0444,27%,102.22,2009
52%,$0.2B,Gnomeo and Juliet,Animation,Disney,1,5.387972222,56%,193.967,2011
56%,$0.0B,Going the Distance,Comedy,Warner Bros.,1,1.3140625,53%,42.05,2010
61%,$0.1B,Good Luck Chuck,Comedy,Lionsgate,1,2.36768512,3%,59.192128,2007
60%,$0.2B,He's Just Not That Into You,Comedy,Warner Bros.,1,7.1536,42%,178.84,2009
76%,$0.3B,High School Musical 3: Senior Year,Comedy,Disney,1,22.91313646,65%,252.044501,2008
57%,$0.0B,I Love You Phillip Morris,Comedy,Independent,1,1.34,71%,20.1,2010
63%,$0.2B,It's Complicated,Comedy,Universal,1,2.642352941,56%,224.6,2009
77%,$0.0B,Jane Eyre,Romance,Universal,1,,85%,30.147,2011
58%,$0.0B,Just Wright,Comedy,Fox,1,1.797416667,45%,21.569,2010
45%,$0.1B,Killers,Action,Lionsgate,1,1.245333333,11%,93.4,2010
83%,$0.2B,Knocked Up,Comedy,Universal,1,6.636401848,91%,219.001261,2007
49%,$0.0B,Leap Year,Comedy,Universal,1,1.715263158,21%,32.59,2010
62%,$0.1B,Letters to Juliet,Comedy,Summit,1,2.639333333,40%,79.18,2010
55%,$0.1B,License to Wed,Comedy,Warner Bros.,1,1.9802064,8%,69.307224,2007
62%,$0.1B,Life as We Know It,Comedy,Independent,1,2.530526316,28%,96.16,2010
55%,$0.1B,Love & Other Drugs,Comedy,Fox,1,1.817666667,48%,54.53,2010
40%,$0.0B,Love Happens,Drama,Universal,1,2.004444444,18%,36.08,2009
61%,$0.1B,Made of Honor,Comedy,Sony,1,2.64906835,13%,105.962734,2008
76%,$0.6B,Mamma Mia!,Comedy,Universal,1,9.234453864,53%,609.473955,2008
77%,$0.2B,Marley and Me,Comedy,Fox,1,3.746781818,63%,206.073,2008
84%,$0.1B,Midnight in Paris,Romance,Sony,1,8.744705882,93%,148.66,2011
70%,$0.0B,Miss Pettigrew Lives for a Day,Comedy,Independent,1,0.2528949,78%,15.173694,2008
50%,$0.0B,Monte Carlo,Romance,20th Century Fox,1,1.9832,38%,39.664,2011
70%,$0.1B,Music and Lyrics,Romance,Warner Bros.,1,3.64741055,63%,145.896422,2007
84%,$0.0B,My Week with Marilyn,Drama,The Weinstein Company,1,0.8258,83%,8.258,2011
48%,$0.1B,New Year's Eve,Romance,Warner Bros.,1,2.536428571,8%,142.04,2011
67%,$0.0B,Nick and Norah's Infinite Playlist,Comedy,Sony,1,3.3527293,73%,33.527293,2008
64%,$0.1B,No Reservations,Comedy,,1,3.307180357,39%,92.60105,2007
66%,$0.0B,Not Easily Broken,Drama,Independent,1,2.14,34%,10.7,2009
54%,$0.1B,One Day,Romance,Independent,1,3.682733333,37%,55.241,2011
49%,$0.0B,Our Family Wedding,Comedy,Independent,1,,14%,21.37,2010
47%,$0.0B,Over Her Dead Body,Comedy,New Line,1,2.071,15%,20.71,2008
