"""News"" if validated",Affected sq km,Affected,Annual DFO #,Began,Damage $ (USD),Main Flood Cause,Country,Damage (USD),Date Began,Dead,Detailed Locations,Displaced,Duration in Days,Ended,Glide #,Latitude of Centroid Y,Longitude of Centroid X,M>4,M>6,Magnitude (M)**,Main cause,Nations,Notes and Comments,Number of Records,Other,Register #,Severity *,Total annual floods M>4,Total annual floods M>6,Total floods M>4,Total floods M>6,Validation (post event #3503)
News,406009.51,,,01/11/2014,,Heavy Rain,Columbia,,01/11/2014,44,Chocó,0,44,14/12/2014,FL-2014-000163-COL,4.59198,-75.544,1,1,7.251988883,Heavy Rain,,"December 10, 2015, 2014:  A second rainy season started at the end of September 2014. In October, more than 52,000 people were affected and 24 were killed by events associated with increased rainfalls, such as floods, landslides and winter storms. By 24 Nov, more than 100,000 people had been affected and 44 killed. At the beginning of December, floods and landslides affected almost 9,000 people in Chocó",1,0,4214,1,199,98,3682,1110,News
News,50235.67,,,11/12/2014,,Torrential Rain,USA,,11/12/2014,3,"Bay Area, and Sacramento, north coastal California",0,4,14/12/2014,0,39.7967,-123.101,1,0,5.303072190,Torrential Rain,,"December 12, 2014:  ""Today's predicted, panic-inducing rain disaster is becoming a bit more disastrous now in its first few hours. As reported already, Montgomery BART Station had to shut down due to a power outage, which caused a fair bit of commute trouble. And there are photos streaming in of flooding all over the Bay Area, including many parts of SF.""The Embarcadero was also closed this morning from AT&T Park to Pier 39 because water started cresting the seawall, as KGO reports — and high tide isn't coming until about 2 p.m. It reopened at 9:15.
Elsewhere, it looks like flooding is already heavy in the San Bruno area, and the photo below, tweeted out by this guy, shows serious flooding on the 280 freeway that commuters were nonetheless trying to ford with their cars.Flooding is also being reported at Geary and Fillmore, and at Third Avenue and Lake Street. There's a flash flood warning in effect for pretty much the entire Bay Area until 9:30 a.m., and as CBS 5 reports, at least four local rivers were expected to top their banks today or tomorrow: the Napa, Russian, Navarro, and Sacramento Rivers. The worst flooding could be seen along the Russian River which is predicted to rise as much as 32 feet, flooding places like like Rio Nido Village, parts of River Road, and Mirable Park.
The storm has of course affected air travel, with long delays and cancellations at SFO, as the Chron reports.",1,0,4213,1,198,97,3681,1109,News
News,199807.2,,,10/12/2014,,Torrential Rain,Brazil,,10/12/2014,0,Eastern Sao Paulo,0,5,14/12/2014,0,-24.8513,-49.2145,1,0,5.999581138,Torrrential Rain,,"December 11, 2014:  ""Sao Paulo floodwaters leave cars submerged and stranded, Parts of Sao Paulo have been left flooded after heavy rain hit Brazil's largest city on Wednesday. The city had been struggling with one of the worst drought in decades earlier this year. Aerial footage shows abandoned cars submerged in the floodwater and entire streets turned into rivers. Sao Paulo (AFP) - Brazilian megalopolis Sao Paulo saw violent storms and heavy rains Wednesday, causing flooding and traffic chaos as authorities announced a state of alert in some parts of the city.The east of Brazil's richest and largest city, home to some 20 million people, was worst hit as roads became streams carrying vehicles along after the heavy dump, which followed months of the worst drought in decades. Traffic authorities said some roads were completely flooded, while some shops were badly damaged, although there were no casualties reported.Cars were overturned and piled up in parts of Sao Paulo, where streets were clogged with trees, branches and other debris.""",1,0,4212,1,197,97,3680,1109,News
News,147616.57,,,04/12/2014,,Heavy Rain,Bulgaria,,04/12/2014,40,Northern Greece and along the country's northeastern borders with Turkey; Bulgaria,1000,11,14/12/2014,0,41.4579,27.7106,1,1,6.386619054,Heavy Rain,,"December 12, 2014: ""After heavy rain and flooding first struck over 1 week ago in northern and southern Bulgaria, the flood threat still remains across wide areas of southern Bulgaria.The same severe weather has been causing flooding in parts of northern Greece, where 5 people have died, and also in northern Turkey, in particular the city of Edirne.BulgariaThe provinces of Stara Zagora, Sliven, Haskovo, Pazardzhik, Plovdiv and Yambol are the worst affected. A state of emergency has been declared in municipalities in Stara Zagora and Plovdiv provinces. To make matters worse, flooding has interrupted the water supply in the municipalities of Svilengrad, Harmanli and Lyubimets in Haskovo province.Several houses in the village of Galabovo in Stara Zagora have been damaged by the flood water of the overflowing Sazlijka River. Levels of the river are extremely high in the area due to a controlled dam discharge.In other areas, residents of towns and villages can only hope river embankments and dams hold out. Several dams across the region are overflowing and levels of the Sazlyjka, Potoka and Maritsa rivers are ominously high.YambolIn Yambol province, the Kirilovo dam is threatening to overflow and flood the nearby town of Elhovo.Stara ZagoraIn Stara Zagora, dams threaten to inundate the towns or villages of Nikolaevo, Radnevo and Kazanlak. A road between Stara Zagora and Kazanlak has been closed due to flooding near the village of Yagoda situated near the Tundzha river. A state of emergency in the municipalities of Radnevo, Galabovo, Maglizh and Nikolaevo.HaskovoIn Haskovo Province, the town of Lyubimets which lies near to the Turkish border, is said to be flooded. Also near the Turkish border, the town of Svilengrad is facing severe floods as levels of the Martitsa river approach flood stage.PazardzhikFurther upstream, levels of the Maritsa are threatening to overflow in 6 municipalities of Pazardzhik Province.
PlovdivMeanwhile in Plovdiv Province, the Potoka river has burst its banks and flooded parts of Saedinenie. Several dams are also said to be close to overflowing in the region.Focus News Agency said:“A State of emergency has been declared in Saedinenie Municipality over the complicated situation caused by heavy precipitation,” said Mayor of the municipality Georgi Rumenov.The measure was needed after 4 dams in the region began to overflow and the Potoka River that passes through the town started to rise. A high number of houses have now been flooded. A crisis staff in the municipality is monitoring the situationDecember 11, 2014:  ""Flooding after heavy rain drowns 2 in GreeceTHESSALONIKI, Greece (AP) -- Two men have drowned in northern Greece, bringing the death toll from severe flooding to four since the weekend.Authorities say one local resident was found dead Thursday in a swollen river in the Philadelpheia area, some 30 kilometers northwest of Thessaloniki.Another man drowned when the taxi he was riding in was swept away by a torrent near the town of Kilkis, 50 kilometers (30 miles) north of Thessaloniki. The taxi driver escaped unharmed.Two more deaths were attributed to flooding earlier in the week. Protracted, heavy rainfall this week has caused severe problems in northern Greece and along the country's northeastern borders with Turkey.""...Greek news agencies are reporting that a further 2 people have died in floods in the country.The fatalities occurred in Thessaloniki and Kilkis, Central Macedonia, northern Greece. One of the victims was a man in his 40s who was found in the overflowing Galikos river in the Thessaloniki region. The other victims was reportedly a passenger who died in a taxi that had crashed into a swollen irrigation canal. The driver of the taxi managed to escape the vehicle....(from the Flood List""  December 8, 2014: ""The situation remains adverse in all parts of Bulgaria that have suffered from the torrential rains in the last days. The Ministry of Environment and Water warned on Sunday that the levels of Maritsa river, in its middle and lower course, and that of river Tundzha are to remain high until December 12. Streets and ground floors of residential buildings have been flooded in the town of Yambol, private NOVA television station reports. The situation is worst in the town of Elhovo, where the level of river Tundzha reached a record level of 4.26 metres on Sunday afternoon. The industrial zone, several streets and houses along the river were flooded, with boats becoming the main means of transport. Several citizens of Elhovo protested that the discharge of the nearby Zhrebchevo dam coincided with the heavy rainfalls. Despite this, evacuation in Elhovo was not necessary. Although electricity in the region of Galabovo was restored on Saturday, street lighting had to be switched off, as the flooded substation was working to its limits, Focus news agency reported."" December 5, 2014: ""100s Evacuated after Floods in Southern BulgariaDECEMBER 5, 2014 BY RICHARD DAVIES IN EUROPE, NEWS  · 0 COMMENT 159580The heavy rain affecting parts of Italy earlier this week moved eastwards to drench several areas of Bulgaria yesterday.Flooding has been reported in the north west and south east of the country, affecting the provinces of Vidin, Burgas, Yambol, Haskovo and Sliven. Sofia news agency Novinite reported today that several rivers and dams had overflowed, including the Ticha dam in Shumen province in the north east.In Yambol, south east Bulgaria, around 100 people had to be evacuated after flooding in the Straldzha area. Also in Yambol, levels of the Tundzha River were dangerously high in Elhovo municipality, threatening the homes of around 200 people.Elsewhere in the south, floods have affected the municipalities of Topolovgrad, Simeonovgrad and Dimitrovgrad in Haskovo province. In the north west of the county, in Vidin province, around 30 villages were left without power or drinking water after a storm.",1,Greece,4211,1.5,196,97,3679,1109,News
News,2861.66,,,26/11/2014,,Torrential Rain,Palestine,,26/11/2014,0,Gaza,300,10,05/12/2014,0,31.3378,34.4532,1,0,4.632709292,Torrential Rain,,"November 28, 2014:  ""The United Nations Relief and Works Agency (UNRWA) in Gaza, has declared an emergency in Gaza City, following extreme weather and severe flooding over the past 48 hours exacerbating the already poor humanitarian situation in the enclave, which is dealing with the aftermath of a last summer's conflict, and an acute fuel and energy crisis.“We are particularly concerned for those families still seeking adequate shelter and preparing for the winter months, and for the impact the flooding is already having on children unable to attend school,”said UNRWA's Director of Operations Robert Turner in Gaza on Thursday.No casualties or injuries have been reported, but hundreds of residents in the flooded areas around the Sheikh Radwan storm water lagoon have evacuated their homes. One UNRWA school and an UNRWA Collective Centre in Gaza City have been affected by the rising waters.The Agency has established an Area Emergency Operations room in Gaza City following contingency planning undertaken last week.As the largest UN agency in the Gaza Strip, UNRWA supplies emergency fuel to municipalities, water, sanitation and health facilities, partially through the WASH and Health clusters led by UN Children's Fund (UNICEF) and the World Health Organization (WHO).On Thursday, UNRWA provided 60,000 litres emergency fuel supplies to run back-up generators of pumping stations and portable pumps. The Agency is also prepared to provide adequate shelter to internally displaced refugees and others should there be a need.A coastal enclave, Gaza City is one of five areas in the Gaza Strip where UNRWA serves some 1.3 million Palestine refugees. Of the 18 UNRWA Collective Centres, 5 are in Gaza City and currently provide adequate shelter for some 7,000 people displaced by the recent conflict.
As a precautionary measure, many schools in Gaza City were closed on Thursday, affecting almost 65,000 students. Forty-three schools in the North Area of the Strip were also closed. Other UNRWA installations are being assessed, though no damage has yet been reported.
UNRWA is in close consultation with all of its partners, the Palestinian Government and the local municipality who are monitoring the level of rain across the Strip.The devastation that extreme weather can cause is not new for Palestinian families in Gaza. In December 2013, the fiercest winter storm the region has seen for many years, Alexa, hit the Strip, and brought torrential rains and widespread flooding that displaced thousand",1,0,4210,1.5,195,96,3678,1108,News
News,123269.25,,,29/11/2014,,Torrential Rain,France,,29/11/2014,5,Southern France; Pyrenees-Orientales region,3000,7,05/12/2014,0,43.999,0.863937,1,1,6.112044053,Torrential Rain,,"December 1, 2014: ""Portel-des-CorbiÃ¨res (France) (AFP) - The worst flooding in years in southern France has claimed five lives and forced more than 3,000 people to evacuate their homes, officials said Sunday.The latest victim was a 73-year-old man who died of heart failure in Rivesaltes, in the Pyrenees-Orientales region, when trying to force his car through a big dip in a road that was flooded.Along the banks of the Agly river in the same region, some 2,800 people had been evacuated by late afternoon Sunday, the government office there said.The flooding was considered already more serious than deadly overflows in 1999 and ""we are evacuating residents within 200 metres (yards) of either side of the river,"" the government said.Another 560 people had already left their homes in Canet, Argeles-sur-Mer and Barcares, on the Mediterranean coast.",1,0,4209,1.5,194,96,3677,1108,News
News,202666.27,,,01/12/2014,,Torrential Rain,USA,,01/12/2014,0,Southern California,40,5,05/12/2014,0,35.4299,-117.212,1,1,6.005751479,Torrential Rain,,"December 4, 2014: ""LOS ANGELES (AP) - A dayslong storm took a parting shot as it moved out of the drought-stricken state Thursday, dumping more heavy rain that triggered flash floods and stranded more than three dozen people in their cars in Southern California.Five vehicles got stuck shortly after 1 a.m. as several feet of mud and water roared over a rural road near Gilman Hot Springs about 80 miles southeast of Los Angeles, Riverside County fire officials said.A woman in one car was ""hanging out of the passenger side of her vehicle screaming for help,"" California Highway Patrol Sgt. Adrian Horta said.Horta said he was able to steer his SUV alongside the car and pull the woman and her male companion out through a window on the road north of Hemet, a valley city surrounded by hills and mountains.""The mountain slide had come down and it was about 4 feet deep,"" he told KCBS-TV.A swift water rescue crew rescued 12 other motorists. Over the next several hours, rescuers pulled 26 more people from cars in the Hemet and San Jacinto areas, county fire spokesman Lucas Spelman said. Several cars and SUVs remained stuck in mud, some with only their roofs exposed.Residents of eight nearby homes were evacuated as a precaution, and numerous roads in the inland region were closed, Spelman said.South in San Diego County, morning floodwaters sent a mudflow 80 feet wide into roads in the Alpine area.The diminishing Pacific system brought three days of rain to California. There was some flooding and evacuations near hillsides stripped bare by wildfires, but the Los Angeles area avoided major damage despite some huge rainfall totals. An exceptional 14.5 inches has fallen since Tuesday at Yucaipa Ridge in the San Bernardino Mountains, the National Weather Service said.Most other parts of the state received 2 to 4 inches of rain.
The storm dropped snow in mountains key to the state's water supply and made signature waterfalls flow at Yosemite National Park, including the 2,425-foot Yosemite Falls that had slowed to a trickle in mid-July.But the needed soaking also caused problems: likely opening a pair of sinkholes in San Francisco, including a 20-by-30-foot chasm in a neighborhood, and flooding freeways in Sacramento.The San Francisco Bay Area reached or exceeded normal annual rainfall totals for the first time in years.Just before the storm arrived, the Sierra Nevada snowpack - which accounts for most of the state's water supply - was at just 24 percent of normal for this time of year. But snow was building rapidly with reports of 10 inches of snowfall at elevations of 8,000 feet.That good news was tempered by a stark reality: California needs many more such storms to alleviate a three-year drought.",1,0,4208,1,193,95,3676,1107,News
News,273693.63,,,24/11/2014,,Heavy Rain,Morocco,,24/11/2014,40,"Southern Morocco, Marrakesh",0,12,05/12/2014,FL-2014-000159-MAR,31.5566,-5.61886,1,1,6.817475931,Heavy Rain,,"December 3, 2014: ""11 More Dead in Morocco Floods. A further 11 people have died in floods in Morocco, just 1 week after torrential rain caused flash floods in the south of the country, leaving as many as 36 people dead.The second spate of flooding came after heavy rainfall affected southern Morocco between 29 November and 1 December. The heavy rain had been forecast and flood warnings issued (see our report here).According to MAP, the Moroccan Interior Ministry said in a statement on Tuesday that 11 people have been killed due to inundations and collapsing houses in the latest floods. They also said that full mobilisation of emergency services, including air force, police and civil protection, helped to mitigate the impact of the flooding. Since 27 November 1,093 people had been rescued and 1,600 evacuated in the flood-stricken southern regions of Guelmim Es-Smara and Souss Massa Draa. Authorities had re-opened 9 national, 22 regional and 35 provincial roads that had been closed due to flood damage, ending the isolation of around 103 villages. The statement said that a further 356 villages remained cut off by floods."" December 3, 2014: ""By Soraya Dali-Balta
The winter season has hit Morocco this year with full force as heavy rains and floods invaded numerous southern cities and towns, causing numerous deaths and leading to a severe damage in the country's infrastructure.At least 40 people have reportedly been killed in the floods so far, while more than 200 have been rescued. Others, meanwhile, remain missing as search and rescue teams have been dispatched to look for them in hard to reach areas.The unprecedented downpour also gravely harmed the country's agricultural sector, destroyed tens of buildings and led to the collapse of bridges, in addition to completely isolating several neighbourhoods.As soon as the crisis hit the northern African country, Moroccan Red Crescent teams were ready to provide relief and rescue services to affected families and individuals through the organisation's local committees and through maintaining close contact with the central headquarters.Six hundred volunteers were mobilised and 50 local intervention teams were formed to respond to the emerging needs, as the organisation's warehouses were opened for the distribution of relief items such as blankets, mattresses, and hygiene kits aimed to 1,100 families.The National Society has also been collaborating with health, civil and military bodies to coordinate in relief services and in the delivery of food and non-food items, and in the provision of first-aid, transport and psycho-social support.""Her Royal Highness Princess Lalla Malika, the chairperson of the organisation, has requested the mobilisation of all available resources to respond to the needs of people who were most affected by the floods in several parts of the country,"" the Moroccan Red Crescent Society said in a released statement.The first relief operations took place in the provinces of Ouarazate and Tinghir where 700 families were targeted. The Moroccan Red Crescent has also put under its disposal its basic preparedness stock, which is part of its contingency plan, to provide 2,100 families with basic urgent needs.Meanwhile, the National Society's volunteers got involved in providing medical services and organising health awareness and prevention campaigns in cooperation with several medical bodies. First aid posts were also set up to provide basic health services.The International Federation of Red Cross and Red Crescent Societies has been closely following up on the situation in Morocco, and has mobilised its operations teams to provide the necessary support for the Moroccan Red Crescent.The Federation has also allocated a Disaster Relief Emergency Fund (DREF) of 245,000 Swiss francs to procure and distribute food and non-food items to refill the basic stocks of the Moroccan National Society, and to provide essential services including first aid and psycho-social support.This year's unprecedented downpour surpassed 200 millimetres and led to the rise of water levels in rivers and in the flooding of valleys, an unfamiliar phenomenon which the country has not witnessed since the 1980s.",1,0,4207,2,192,94,3675,1106,News
News,31653.08,,,07/11/2014,,Monsoon Rain,Thailand,,07/11/2014,0,Southern Thailand; Trang Province,1000,10,16/11/2014,0,8.02409,99.5163,1,0,5.500415975,Monsoonal Rain,,"November 14, 2014: ""The northeast monsoon has left at least 9 provinces in southern Thailand battling heavy rain and floods, as the country’s Interior Minister warns there could be more to come.Trang ProvinceTrang province in southern Thailand has been one of the worst affected areas after persistent heavy rain over the last 4 days caused flash floods across several southern provinces.Around 1,000 villagers in Trang have been evacuated since the flooding began. Houses and farmland have been damaged. The flood water level was almost two meters high, according to Nakhon Si ThammaratAt least 5 districts – Chawang, Chang Klang, Pipoon, Lan Ska, and Phra Phrom in Nakhon Si Thammarat also experienced severe floods that first began around 07 November 2014. More than 4,400 households and 12,000 people have been affected in the province.Nine Provinces AffectedBesides Trang and Nakhon Si Thammarat, the provinces of Patthalung, Songkhla, Krabi, Satun, Pattani, Yala and Narathiwat have also been affected. Some reports claim that flood waters have started to recede in Patthalung and Trang. However the heavy rain continues. Narathiwat saw 74 mm of rain fall in the last 24 hours.Ion 12 November, Interior Minister Gen Anupong Paochinda alerted the governors southern provinces to another wave of heavy rains between November 13-16 and instructed them to be prepared for possible disasters.
The provinces most likely affected are Krabi, Trang, Surat Thani, Nakhon Si Thammarat, Phatthalung, Songkhla, Yala, Pattani, Narathiwat and Satun.According to Gen Anupong, it is forecast that the northeast monsoon will pick up strength from tomorrow until November 16 and will, in turn, bring torrential rains to many areas of the lower southern region of Thailand. Surat Thani province is also likely to experience strong winds.
DDPM Director-General Chatchai Promlert has advised locals, whose homes are situated near waterways, on hill slopes or in lowlands, to closely follow weather forecasts and disaster warning",1,0,4206,1,191,93,3674,1105,News
News,36733.48,,,12/11/2014,,Torrential Rain,Italy,,12/11/2014,5,Northern Italy,0,5,16/11/2014,0,45.9281,10.6129,1,0,5.440123337,Torrential Rain,,"November 14, 2014: ""At least three people are presumed dead in flooding and landslides in northern Italy.Two elderly people are thought to be buried after their home was crushed in a mudslide.Another woman trapped in her home has died of a heart attack.The Mayor of Leivi, Vittorio Centanaro, told reporters: “The situation is really bad; it’s a tragedy. It’s a tragedy for the whole area. Every year we have to face this kind of situation.”The regions affected by the torrential rain and flooding include Tuscany, Lombardy, Liguria and Emilia-Romagna.Some towns are reported to have had more than 20 centimetres of rain in just 12 hours.High alert levels are expected to remain in place until at least Wednesday evening.Copyright © 2014 euronews""...""Floods and landslides continue to wreak havoc across northern Italy. Damage has been estimated at almost $150 million so far. Five people have died in the floods and landslides so far this month. This comes after the flood disasters in northern Italy, in particular Genoa, last month which left 3 people dead.The Liguria, Lombardy and Piedmont regions are worst affected. Rail traffic disruption is particularly prominent and new flood and landslide damage continues to be recorded throughout the affected areas. Parts of Milan have also been affected, where many schools have been closed as a result of the severe weather. The Seveso and Lambro rivers burst their banks and levels of the Po river are increasingly high. Meteoweb.eu reported last night that levels of the Po River in Piacenza stood at 6.8 metres, 20cm below flood stage. Piacenza is a city the Emilia-Romagna region of northern Italy. It is also feared that the high levels of the Po could affect parts of Venetia region. In the recent spate of severe weather, two people, said to be an elderly couple, died after torrential rain caused floods and landslides in northern Italy on Tuesday 11 November 2014. In a separate incident, a man was killed by a landslide outside his home in Crevacuore, Piedmont on 12 November.A man drowined in Moscazzano, south-east of Milan, yesterday while he was attempting to open a sluice gate to alleviate floding. Also yesterday, an elderly man drowned in Ispra, on the eastern shore of Lake Maggiore, in the province of Varese, in the Lombardy region...""Floods and landslides continue to wreak havoc across northern Italy. Damage has been estimated at almost $150 million so far. Five people have died in the floods and landslides so far this month. This comes after the flood disasters in northern Italy, in particular Genoa, last month which left 3 people dead....The Liguria, Lombardy and Piedmont regions are worst affected. Rail traffic disruption is particularly prominent and new flood and landslide damage continues to be recorded throughout the affected areas. Parts of Milan have also been affected, where many schools have been closed as a result of the severe weather. The Seveso and Lambro rivers burst their banks and levels of the Po river are increasingly high. Meteoweb.eu reported last night that levels of the Po River in Piacenza stood at 6.8 metres, 20cm below flood stage. Piacenza is a city the Emilia-Romagna region of northern Italy. It is also feared that the high levels of the Po could affect parts of Venetia region....In the recent spate of severe weather, two people, said to be an elderly couple, died after torrential rain caused floods and landslides in northern Italy on Tuesday 11 November 2014. In a separate incident, a man was killed by a landslide outside his home in Crevacuore, Piedmont on 12 November....A man drowined in Moscazzano, south-east of Milan, yesterday while he was attempting to open a sluice gate to alleviate floding. Also yesterday, an elderly man drowned in Ispra, on the eastern shore of Lake Maggiore, in the province of Varese, in the Lombardy region",1,0,4205,1.5,190,93,3673,1105,News
