2014 Pay,Athlete,Endorsements $,Salary/Winnings $,Endorsements,Number of Records,Salary/Winnings,Sport
$105 M,Floyd Mayweather,$0M,$105M,$0,1,$105 M,Boxing
$80 M,Cristiano Ronaldo,$28M,$52M,$28 M,1,$52 M,Soccer
$72.3 M,LeBron James,$53M,$19M,$53 M,1,$19.3 M,Basketball
$64.7 M,Lionel Messi,$23M,$42M,$23 M,1,$41.7 M,Soccer
$61.5 M,Kobe Bryant,$31M,$31M,$31 M,1,$30.5 M,Basketball
$61.2 M,Tiger Woods,$55M,$6M,$55 M,1,$6.2 M,Golf
$56.2 M,Roger Federer,$52M,$4M,$52 M,1,$4.2 M,Tennis
$53.2 M,Phil Mickelson,$48M,$5M,$48 M,1,$5.2 M,Golf
$44.5 M,Rafael Nadal,$30M,$15M,$30 M,1,$14.5 M,Tennis
$43.8 M,Matt Ryan,$2M,$42M,$1.8 M,1,$42 M,Football
$41.8 M,Manny Pacquiao,$1M,$41M,$0.8 M,1,$41 M,Boxing
$40.4 M,Zlatan Ibrahimovic,$4M,$36M,$4 M,1,$36.4 M,Soccer
$36.6 M,Derrick Rose,$19M,$18M,$19 M,1,$17.6 M,Basketball
$36.4 M,Gareth Bale,$11M,$25M,$11 M,1,$25.4 M,Soccer
$35.4 M,Radamel Falcao,$3M,$32M,$3 M,1,$32.4 M,Soccer
$33.6 M,Neymar,$16M,$18M,$16 M,1,$17.6 M,Soccer
$33.1 M,Novak Djokovic,$21M,$12M,$21 M,1,$12.1 M,Tennis
$33 M,Matthew Stafford,$2M,$32M,$1.5 M,1,$31.5 M,Football
$32 M,Lewis Hamilton,$3M,$29M,$3 M,1,$29 M,Racing
$31.9 M,Kevin Durant,$14M,$18M,$14 M,1,$17.9 M,Basketball
$31 M,Fernando Alonso,$2M,$29M,$2 M,1,$29 M,Racing
$30 M,Mahendra Singh Dhoni,$26M,$4M,$26 M,1,$4 M,Cricket
$29.9 M,Dwyane Wade,$11M,$19M,$11 M,1,$18.9 M,Basketball
$29.4 M,Carmelo Anthony,$8M,$21M,$8 M,1,$21.4 M,Basketball
$28 M,Wladimir Klitschko,$4M,$24M,$4 M,1,$24 M,Boxing
$27.1 M,Peyton Manning,$12M,$15M,$12 M,1,$15.1 M,Football
$26.7 M,Amar'e Stoudemire,$5M,$22M,$5 M,1,$21.7 M,Basketball
$25.9 M,"Dale Earnhardt, Jr.",$11M,$15M,$11 M,1,$14.9 M,Racing
$25.5 M,Dwight Howard,$5M,$21M,$5 M,1,$20.5 M,Basketball
$25.3 M,Cliff Lee,,$25M,$200 K,1,$25.1 M,Baseball
$24.8 M,Joe Mauer,$2M,$23M,$1.8 M,1,$23 M,Baseball
$24.6 M,Miguel Cabrera,$2M,$23M,$2 M,1,$22.6 M,Baseball
$24.5 M,Zack Greinke,,$24M,$50 K,1,$24.4 M,Baseball
$24.4 M,Maria Sharapova,$22M,$2M,$22 M,1,$2.4 M,Tennis
$24.3 M,Derek Jeter,$9M,$15M,$9 M,1,$15.3 M,Baseball
$24.3 M,Rory McIlroy,$20M,$4M,$20 M,1,$4.3 M,Golf
$24.2 M,Chris Paul,$6M,$19M,$5.5 M,1,$18.7 M,Basketball
