Gender,Number of Records,Occurences,State,Top Name,Year
Female,1,14,AK,Mary,1910
Female,1,12,AK,Mary,1911
Female,1,9,AK,Mary,1912
Female,1,21,AK,Mary,1913
Female,1,22,AK,Mary,1914
Female,1,23,AK,Mary,1915
Female,1,18,AK,Mary,1916
Female,1,21,AK,Mary,1917
Female,1,27,AK,Mary,1918
Female,1,22,AK,Mary,1919
Female,1,38,AK,Mary,1920
Female,1,36,AK,Mary,1921
Female,1,29,AK,Mary,1922
Female,1,26,AK,Mary,1923
Female,1,41,AK,Mary,1924
Female,1,24,AK,Mary,1925
Female,1,39,AK,Mary,1926
Female,1,30,AK,Mary,1927
Female,1,27,AK,Mary,1928
Female,1,25,AK,Mary,1929
Female,1,35,AK,Mary,1930
Female,1,41,AK,Mary,1931
Female,1,26,AK,Mary,1932
Female,1,25,AK,Mary,1933
Female,1,31,AK,Mary,1934
Female,1,29,AK,Mary,1935
Female,1,33,AK,Mary,1936
Female,1,41,AK,Mary,1937
Female,1,37,AK,Mary,1938
Female,1,28,AK,Mary,1939
Female,1,43,AK,Mary,1940
Female,1,40,AK,Mary,1941
Female,1,43,AK,Mary,1942
Female,1,47,AK,Mary,1943
Female,1,42,AK,Mary,1944
Female,1,47,AK,Mary,1945
Female,1,47,AK,Mary,1946
Female,1,63,AK,Mary,1947
Female,1,71,AK,Mary,1948
Female,1,79,AK,Mary,1949
Female,1,71,AK,Mary,1950
Female,1,79,AK,Linda,1951
Female,1,90,AK,Linda,1952
Female,1,108,AK,Linda,1953
Female,1,105,AK,Debra,1954
Female,1,94,AK,Debra,1955
Female,1,103,AK,Debra,1956
Female,1,99,AK,Mary,1957
Female,1,84,AK,Mary,1958
Female,1,61,AK,Mary,1959
Female,1,78,AK,Mary,1960
Female,1,80,AK,Mary,1961
Female,1,86,AK,Mary,1962
Female,1,78,AK,Mary,1963
Female,1,84,AK,Mary,1964
Female,1,70,AK,Lisa,1965
Female,1,67,AK,Mary,1966
Female,1,68,AK,Lisa,1967
Female,1,82,AK,Michelle,1968
Female,1,89,AK,Michelle,1969
Female,1,81,AK,Jennifer,1970
Female,1,109,AK,Jennifer,1971
Female,1,130,AK,Jennifer,1972
Female,1,128,AK,Jennifer,1973
Female,1,135,AK,Jennifer,1974
Female,1,114,AK,Jennifer,1975
Female,1,124,AK,Jennifer,1976
Female,1,140,AK,Jennifer,1977
Female,1,129,AK,Jennifer,1978
Female,1,126,AK,Jennifer,1979
Female,1,116,AK,Jessica,1980
Female,1,106,AK,Jennifer,1981
Female,1,145,AK,Jennifer,1982
Female,1,155,AK,Jennifer,1983
Female,1,157,AK,Jessica,1984
Female,1,164,AK,Jessica,1985
Female,1,158,AK,Jessica,1986
Female,1,156,AK,Jessica,1987
Female,1,134,AK,Jessica,1988
Female,1,112,AK,Jessica,1989
Female,1,112,AK,Jessica,1990
Female,1,107,AK,Jessica,1991
Female,1,102,AK,Jessica,1992
Female,1,85,AK,Jessica,1993
Female,1,76,AK,Jessica,1994
Female,1,61,AK,Samantha,1995
Female,1,57,AK,Ashley,1996
Female,1,67,AK,Hannah,1997
Female,1,60,AK,Emily,1998
Female,1,62,AK,Emily,1999
Female,1,58,AK,Hannah,2000
Female,1,54,AK,Madison,2001
Female,1,57,AK,Madison,2002
Female,1,56,AK,Hannah,2003
Female,1,62,AK,Emma,2004
Female,1,53,AK,Madison,2005
Female,1,49,AK,Emma,2006
Female,1,52,AK,Isabella,2007
Female,1,51,AK,Emma,2008
Female,1,57,AK,Isabella,2009
Female,1,60,AK,Sophia,2010
Female,1,60,AK,Olivia,2011
Female,1,57,AK,Emma,2012
Male,1,8,AK,John,1910
Male,1,15,AK,John,1911
Male,1,16,AK,John,1912
Male,1,19,AK,John,1913
Male,1,17,AK,John,1914
Male,1,21,AK,John,1915
Male,1,25,AK,John,1916
Male,1,26,AK,John,1917
Male,1,23,AK,John,1918
Male,1,24,AK,John,1919
Male,1,21,AK,John,1920
Male,1,35,AK,John,1921
Male,1,22,AK,Robert,1922
Male,1,27,AK,John,1923
Male,1,36,AK,John,1924
Male,1,32,AK,John,1925
Male,1,26,AK,John,1926
Male,1,22,AK,John,1927
Male,1,28,AK,John,1928
Male,1,23,AK,John,1929
Male,1,26,AK,John,1930
Male,1,31,AK,John,1931
Male,1,23,AK,John,1932
Male,1,29,AK,John,1933
Male,1,25,AK,John,1934
Male,1,37,AK,John,1935
Male,1,35,AK,Robert,1936
Male,1,26,AK,Robert,1937
Male,1,27,AK,Robert,1938
Male,1,35,AK,John,1939
Male,1,43,AK,John,1940
Male,1,40,AK,Robert,1941
Male,1,46,AK,John,1942
Male,1,36,AK,John,1943
Male,1,44,AK,Robert,1944
Male,1,40,AK,Robert,1945
Male,1,59,AK,John,1946
Male,1,75,AK,John,1947
Male,1,98,AK,John,1948
Male,1,95,AK,John,1949
Male,1,91,AK,Robert,1950
Male,1,100,AK,Robert,1951
Male,1,133,AK,James,1952
Male,1,159,AK,David,1953
Male,1,184,AK,Michael,1954
Male,1,179,AK,David,1955
Male,1,163,AK,Michael,1956
Male,1,171,AK,John,1957
Male,1,151,AK,Michael,1958
Male,1,139,AK,John,1959
Male,1,151,AK,David,1960
Male,1,145,AK,David,1961
Male,1,157,AK,John,1962
Male,1,144,AK,David,1963
Male,1,151,AK,John,1964
Male,1,150,AK,John,1965
Male,1,128,AK,Michael,1966
Male,1,131,AK,David,1967
Male,1,148,AK,John,1968
Male,1,148,AK,Michael,1969
Male,1,166,AK,Michael,1970
Male,1,136,AK,John,1971
Male,1,146,AK,Michael,1972
Male,1,142,AK,Michael,1973
Male,1,151,AK,Michael,1974
Male,1,147,AK,Michael,1975
Male,1,146,AK,Jason,1976
Male,1,133,AK,Jason,1977
Male,1,149,AK,Michael,1978
Male,1,141,AK,Christopher,1979
Male,1,145,AK,Michael,1980
Male,1,149,AK,Michael,1981
Male,1,206,AK,Michael,1982
Male,1,188,AK,Christopher,1983
Male,1,200,AK,Christopher,1984
Male,1,189,AK,Michael,1985
Male,1,170,AK,Michael,1986
Male,1,174,AK,Christopher,1987
Male,1,181,AK,Michael,1988
Male,1,159,AK,Michael,1989
Male,1,197,AK,Michael,1990
Male,1,149,AK,Michael,1991
Male,1,159,AK,Michael,1992
Male,1,110,AK,Michael,1993
Male,1,101,AK,Michael,1994
Male,1,88,AK,Michael,1995
Male,1,101,AK,Michael,1996
Male,1,86,AK,Jacob,1997
Male,1,78,AK,Michael,1998
Male,1,96,AK,Jacob,1999
Male,1,74,AK,Michael,2000
Male,1,67,AK,Michael,2001
Male,1,75,AK,Jacob,2002
Male,1,62,AK,Jacob,2003
Male,1,65,AK,Ethan,2004
Male,1,63,AK,Ethan,2005
Male,1,67,AK,James,2006
Male,1,58,AK,Aiden,2007
Male,1,67,AK,James,2008
Male,1,58,AK,Michael,2009
Male,1,57,AK,William,2010
Male,1,58,AK,Mason,2011
Male,1,51,AK,James,2012
Female,1,875,AL,Mary,1910
Female,1,803,AL,Mary,1911
Female,1,1041,AL,Mary,1912
Female,1,1125,AL,Mary,1913
Female,1,1429,AL,Mary,1914
Female,1,1551,AL,Mary,1915
Female,1,1721,AL,Mary,1916
Female,1,1824,AL,Mary,1917
Female,1,1916,AL,Mary,1918
Female,1,2223,AL,Mary,1919
Female,1,2357,AL,Mary,1920
Female,1,2319,AL,Mary,1921
Female,1,2384,AL,Mary,1922
Female,1,2420,AL,Mary,1923
Female,1,2596,AL,Mary,1924
Female,1,2693,AL,Mary,1925
Female,1,2535,AL,Mary,1926
Female,1,2609,AL,Mary,1927
Female,1,2501,AL,Mary,1928
Female,1,2339,AL,Mary,1929
Female,1,2399,AL,Mary,1930
Female,1,2272,AL,Mary,1931
Female,1,2339,AL,Mary,1932
Female,1,2103,AL,Mary,1933
Female,1,2290,AL,Mary,1934
Female,1,2214,AL,Mary,1935
Female,1,2016,AL,Mary,1936
Female,1,2155,AL,Mary,1937
Female,1,2192,AL,Mary,1938
Female,1,2073,AL,Mary,1939
Female,1,2074,AL,Mary,1940
Female,1,2099,AL,Mary,1941
Female,1,2350,AL,Mary,1942
Female,1,2308,AL,Mary,1943
Female,1,2078,AL,Mary,1944
Female,1,2081,AL,Mary,1945
Female,1,2108,AL,Mary,1946
Female,1,2115,AL,Mary,1947
Female,1,2079,AL,Mary,1948
Female,1,1973,AL,Mary,1949
Female,1,1840,AL,Mary,1950
Female,1,1700,AL,Mary,1951
Female,1,1720,AL,Mary,1952
Female,1,1498,AL,Mary,1953
Female,1,1449,AL,Mary,1954
Female,1,1355,AL,Mary,1955
Female,1,1248,AL,Mary,1956
Female,1,1222,AL,Mary,1957
Female,1,1044,AL,Mary,1958
Female,1,1048,AL,Mary,1959
Female,1,982,AL,Mary,1960
Female,1,930,AL,Mary,1961
Female,1,821,AL,Mary,1962
Female,1,854,AL,Lisa,1963
Female,1,825,AL,Lisa,1964
Female,1,930,AL,Lisa,1965
Female,1,795,AL,Lisa,1966
Female,1,705,AL,Lisa,1967
Female,1,695,AL,Lisa,1968
Female,1,658,AL,Kimberly,1969
Female,1,734,AL,Kimberly,1970
Female,1,727,AL,Jennifer,1971
Female,1,816,AL,Jennifer,1972
Female,1,882,AL,Jennifer,1973
